num,Thermal.sensation,Acceptance,Votes
1,-3,Clearlyacceptable,0
2,-3,Justacceptable,0.33
3,-3,Justunacceptable,0.53
4,-3,Clearlyunacceptable,0.13
5,-2,Clearlyacceptable,0.05
6,-2,Justacceptable,0.8
7,-2,Justunacceptable,0.15
8,-2,Clearlyunacceptable,0
9,-1,Clearlyacceptable,0.25
10,-1,Justacceptable,0.73
11,-1,Justunacceptable,0.02
12,-1,Clearlyunacceptable,0
13,0,Clearlyacceptable,0.06
14,0,Justacceptable,0.9
15,0,Justunacceptable,0.03
16,0,Clearlyunacceptable,0
17,1,Clearlyacceptable,0
18,1,Justacceptable,0.63
19,1,Justunacceptable,0.38
20,1,Clearlyunacceptable,0
21,2,Clearlyacceptable,0
22,2,Justacceptable,0
23,2,Justunacceptable,1
24,2,Clearlyunacceptable,0
25,3,Clearlyacceptable,0
26,3,Justacceptable,0
27,3,Justunacceptable,0
28,3,Clearlyunacceptable,0
